id,title,initial,writer,composer,arranger
1502,こげよマイケル,こ,,スピリチュアル,松田昌
1503,心のなかの広い宇宙を,こ,ミマス,ミマス,富澤裕
1504,ここにしかないものがある,こ,つむぐ,相澤直人,
1505,心つないで,こ,栂野知子,栂野知子,
1506,心に風が吹いたら,こ,栂野知子,栂野知子,
1507,心の翼 君が広げたら,こ,みなづきみのり,桜田直子,
1508,心のなかの広い宇宙を,こ,ミマス,ミマス,富澤裕
1509,心の瞳,こ,荒木とよひさ,三木たかし,横山潤子
1510,心のマストに,こ,石原一輝,桜田直子,
1511,心ひとつ,こ,渡瀬昌浩,貫輪久美子,
1512,こころひとつに,こ,平野次郎,平野次郎,
1513,心 ひびきあって,こ,笹谷幸代,笹谷幸代,
1514,ＣＯＳＭＯＳ,こ,ミマス,ミマス,富澤裕
1515,鼓動,こ,田中佐知,森山至貴,
1516,この歌を,こ,古宮真美子,古宮真美子,
1517,この地球のどこかで,こ,三浦恵子,若松歓,
1518,この日々を、この時代を,こ,里乃塚玲央,森山至貴,
1519,越えてゆけ,こ,弓削田健介,弓削田健介,
1520,こみちのきもち,こ,覚 和歌子,信長貴富,
1521,こゆきのおどり,こ,細川眞理子,細川眞理子,
1522,コロブチカ（行商人）,こ,,ロシア民謡,松田昌
1523,GO GO! カレーライス,こ,河原木孝浩,河原木孝浩,
1524,ゴールのない歌,こ,里乃塚玲央,瑞木薫,
2101,ステップ、スキップ、ジャンプ,さ,渡瀬昌治,松長誠,
2102,桜色,さ,山崎朋子,山崎朋子,
2103,さくらの唄,さ,中内悠介,中内悠介,
2104,さくらの季節,さ,石原一輝,大田桜子,
2105,サザエさん,さ,,筒美京平,松田昌
2106,さようなら,さ,細川眞理子,細川眞理子,
2107,さよならの言葉,さ,筒井雅子,筒井雅子,
2108,「さよなら」の前に,さ,里乃塚玲央,西澤健治,
2201,See You Again,し,若松歓,若松歓,
2202,しあわせがあつまるように,し,山本瓔子,大田桜子,
2203,Sha ba da ba,し,桜田直子,桜田直子,
2204,シューベルトの子守歌,し,,シューベルト,松田昌
2205,信じる,し,谷川俊太郎,松下耕,
2206,ジェリコの戦い,し,スピリチュアル,スピリチュアル,河西保郎
2207,Jump!,し,ruriko,ruriko,
2208,十歳の記念日,し,ruriko,ruriko,
2209,10歳を向かえる日に,し,古宮真美子,古宮真美子,
2301,スキキライ・シャッフル,す,河原木孝浩,河原木孝浩,
2302,スペインのカスタネット,す,,中村彩子,
2303,スマイル・スマイル,す,高木冨士子,美鈴こゆき,
2304,ずっとずっと,す,ruriko,ruriko,
2401,青春メモリーズ,せ,原田薫,岡崎絵美（向陽中学校三年生補作）,
2402,生命が羽ばたくとき,せ,人見敬子,西澤健治,
2403,せかいじゅうかいじゅう,せ,ごとうやすゆき,横山智昭,
2404,世界でひとつのハーモニー,せ,栂野知子,栂野知子,
2405,世界の子どものマーチ,せ,人見敬子,西澤健治,
2406,ぜんぶ〜卒業式バージョン〜,せ,さくらももこ,相澤直人,
2407,ぜんぶ忘れない,せ,桑原永江,若松歓,
2501,卒業〜ありがとう いつまでも〜,そ,里乃塚玲央,西澤健治,
2502,卒業アルバム,そ,織田ゆり子,桜田直子,
2503,その手をください,そ,大田倭子,大田桜子,
2504,そよ風のように,そ,,千田鉄男,
2505,空,そ,新川和江,三宅悠太,
2506,ソラシドマーチ,そ,織田ゆり子,上柴はじめ,上柴はじめ
2507,空にジャンプ！,そ,古宮真美子,古宮真美子,
2508,空の美術館,そ,ミマス,ミマス,富澤裕
2509,空の文字,そ,門倉詇,佐々木信綱,
2510,空のように青い心で,そ,新沢としひこ,氏家晋也,
2511,空にジャンプ！,そ,古宮真美子,古宮真美子,
2512,それぞれの夢へと,そ,愛知県安城南中学校平成24年度2年生,松井孝夫,
3101,たいせつなあなたへ,た,弓削田健介,弓削田健介,
3102,大切なともだち,た,古宮真美子,古宮真美子,
3103,大切なもの,た,山崎朋子,山崎朋子,
3104,たいせつに…,た,松井孝夫,松井孝夫,
3105,太陽と大地の子供たち,た,人見敬子,西澤健治,
3106,太陽の国へ,た,,中村彩子,
3107,太陽のパレード,た,弥勒,瑞木薫,
